Abella de la Conca;0,000;0;0,000;0;0,000;1147,302;10
Abrera;985,690;14;0,000;0;985,690;62710,393;301
Àger;0,000;0;427,981;9;427,981;11534,932;104
Agramunt;3426,970;61;0,000;0;3426,970;31522,393;251
Aguilar de Segarra;0,000;0;0,000;0;0,000;570,846;5
Agullana;0,000;0;0,000;0;0,000;6232,179;51
Aiguafreda;478,919;14;53,543;2;532,463;14626,822;98
Aiguamúrcia;2411,780;13;66,317;2;2478,097;20053,990;80
Aiguaviva;138,331;2;69,419;1;207,751;11124,016;61
Aitona;2893,067;16;0,000;0;2893,067;9197,996;58
Alàs i Cerc;0,000;0;0,000;0;0,000;4822,083;58
Albanyà;0,000;0;0,000;0;0,000;1609,993;23
Albatàrrec;875,495;16;0,000;0;875,495;9978,130;54
Albesa;2126,261;14;0,000;0;2126,261;10519,643;66
Albinyana;0,000;0;17,730;1;17,730;22896,973;145
Albons;29,678;1;0,000;0;29,678;8471,972;75
Alcanar;68,179;1;241,458;2;309,637;59188,405;378
Alcanó;802,366;11;0,000;0;802,366;2492,472;27
Alcarràs;1615,463;10;0,000;0;1615,463;30260,010;163
Alcoletge;4473,073;44;0,000;0;4473,073;18270,458;120
Alcover;755,329;15;393,172;17;1148,501;30359,205;198
Aldover;0,000;0;0,000;0;0,000;2877,867;28
Alella;1215,465;24;1317,608;7;2533,073;61109,262;306
Alfara de Carles;0,000;0;296,690;10;296,690;2491,420;32
Alfarràs;0,000;0;0,000;0;0,000;11368,955;93
Alfés;0,000;0;88,494;2;88,494;2743,622;27
Alforja;3333,111;33;0,000;0;3333,111;16070,551;107
Algerri;0,000;0;234,402;6;234,402;4371,304;37
Alguaire;7234,288;66;0,000;0;7234,288;20067,494;137
Alins;0,000;0;11,287;1;11,287;4408,979;51
Alió;0,000;0;0,000;0;0,000;4743,623;41
Almacelles;969,128;7;0,000;0;969,128;30931,305;128
Almatret;1297,342;5;0,000;0;1297,342;3399,703;24
Almenar;1444,867;9;752,588;9;2197,455;16975,177;126
Almoster;115,724;3;132,453;4;248,176;10982,062;65
Alòs de Balaguer;0,000;0;92,212;4;92,212;1906,791;19
Alp;173,974;3;52,463;3;226,437;21510,536;118
Alpens;602,827;6;862,774;12;1465,601;3387,604;36
Alpicat;3849,150;35;0,000;0;3849,150;35974,671;196
Altafulla;1567,155;30;0,000;0;1567,155;31609,775;192
Alt Àneu;0,000;0;1747,663;25;1747,663;8452,671;139
Amer;0,000;0;34,146;2;34,146;9341,729;86
Amposta;458,619;4;0,000;0;458,619;87609,673;427
Anglès;0,000;0;534,427;7;534,427;18049,099;136
Anglesola;1189,567;8;0,000;0;1189,567;10271,979;69
Arbeca;520,494;16;76,117;2;596,611;20836,322;133
Arbolí;0,000;0;188,948;4;188,948;867,179;11
Arbúcies;0,000;0;0,000;0;0,000;24834,619;120
Arenys de Mar;2017,681;38;0,000;0;2017,681;41026,870;245
Arenys de Munt;4319,834;30;0,000;0;4319,834;39654,094;189
