Bellver de Cerdanya;11414,1823560651;81;3223,6739203573;34;14637,8562764224
Bellvís;1071,6884021575;26;69,6148909827;1;1141,3032931402
Benavent de Segrià;1610,7845302764;18;0;0;1610,7845302764
Benifallet;2197,5024777279;35;0;0;2197,5024777279
Benissanet;1969,9553022647;19;0;0;1969,9553022647
Berga;20392,0286618001;146;1525,2377750852;10;21917,2664368853
Besalú;15,785132989;1;0;0;15,785132989
Bescanó;260,0252283236;6;0;0;260,0252283236
Beuda;0;0;0;0;0
Bigues i Riells;7081,8367652729;54;191,7349669345;3;7273,5717322073
Biosca;2261,1485324572;32;0;0;2261,1485324572
Biure;0;0;0;0;0
Blancafort;1172,1939601511;13;0;0;1172,1939601511
Blanes;3352,5673410316;49;0;0;3352,5673410316
Boadella i les Escaules;0;0;0;0;0
Bolvir;3803,5480409966;25;0;0;3803,5480409966
Bonastre;0;0;0;0;0
Bordils;0;0;188,8131625432;4;188,8131625432
Borrassà;46,1913574897;1;0;0;46,1913574897
Borredà;4003,6952296351;33;0;0;4003,6952296351
Bossòst;840,9190804872;21;0;0;840,9190804872
Bot;1153,1055417938;18;0;0;1153,1055417938
Botarell;1882,5636182491;18;0;0;1882,5636182491
Bovera;266,0830069737;6;0;0;266,0830069737
Bràfim;4245,6422934568;15;0;0;4245,6422934568
Breda;6051,9810029764;43;0;0;6051,9810029764
Brunyola;290,3529015929;3;0;0;290,3529015929
Cabacés;2669,1394971239;21;0;0;2669,1394971239
Cabanabona;586,6645130687;16;0;0;586,6645130687
Cabanelles;13,2876979365;1;0;0;13,2876979365
Cabanes;0;0;0;0;0
Cabó;729,4605016288;10;0;0;729,4605016288
Cabra del Camp;391,1587196014;6;0;0;391,1587196014
Cabrera d'Anoia;0;0;0;0;0
Cabrera de Mar;3271,2493938127;26;1510,7852725899;13;4782,0346664026
Cabrils;4142,3685207006;50;441,5996769634;10;4583,9681976639
Cadaqués;42,4607043029;2;295,4873859578;1;337,9480902607
Calaf;6115,4909994941;57;202,4761819134;9;6317,9671814075
Calafell;673,7967495824;10;0;0;673,7967495824
Calders;1899,4537731865;19;0;0;1899,4537731865
Caldes de Malavella;8512,5004994826;31;0;0;8512,5004994826
Caldes de Montbui;9737,4625667572;66;557,3120583418;7;10294,7746250989
Caldes d'Estrac;5189,360547142;31;0;0;5189,360547142
Calella;6098,9048439907;57;382,3003866693;5;6481,20523066
Calldetenes;2292,4513520363;37;0;0;2292,4513520363
Callús;3480,4756114456;32;563,4662788091;4;4043,9418902546
Calonge;2196,1127436551;20;0;0;2196,1127436551
Calonge de Segarra;1691,0378421623;17;154,5297247491;2;1845,5675669114
Camarasa;4200,4443025727;48;332,9826655418;8;4533,4269681145
Camarles;4647,8211717311;17;0;0;4647,8211717311
Cambrils;14666,5899237713;238;160,4497679335;1;14827,0396917048
Camós;1645,9701711989;20;552,2773288153;7;2198,2475000142
Campdevànol;6658,1710229802;38;0;0;6658,1710229802
Campelles;1796,3859332919;14;0;0;1796,3859332919
Campins;519,8476272162;4;0;0;519,8476272162
Campllong;1011,1205129706;6;0;0;1011,1205129706
Camprodon;6662,1843463236;74;0;0;6662,1843463236
Canejan;866,313707347;15;0;0;866,313707347
