Alta Ribagorça;16865.1927868;165;1138.8435651;16;18004.0363519;
Alt Camp;99948.2414388;594;783.463719551;27;100731.705158;
Alt Empordà;107208.445648;1189;8408.58989936;121;115617.035547;
Alt Penedès;22678.5760294;215;3532.49551333;53;26211.0715427;
Alt Urgell;72639.3383807;637;10356.2700378;120;82995.6084185;
Anoia;33158.6202048;318;6021.81563753;87;39180.4358423;
Bages;191649.96113;1619;6262.91417713;94;197912.875307;
Baix Camp;106404.316312;1267;2207.99530595;25;108612.311618;
Baix Ebre;75941.8034285;663;648.852607704;16;76590.6560362;
Baix Empordà;141952.655666;1137;16484.4122453;156;158437.067911;
Baix Llobregat;132664.408167;1116;2204.86714003;25;134869.275307;
Baix Penedès;11169.2867771;141;1035.81480682;11;12205.1015839;
Barcelonès;8764.95738466;136;1243.27245484;19;10008.2298395;
Berguedà;78435.5736257;653;8982.17533849;86;87417.7489642;
Cerdanya;72589.1314695;545;5511.82871828;59;78100.9601878;
Conca de Barberà;44255.1157646;492;1494.49994621;35;45749.6157108;
Garraf;9911.91438757;118;1663.63884602;17;11575.5532336;
Garrigues;30082.2664397;290;773.124381431;14;30855.3908212;
Garrotxa;49167.8550382;455;3483.35845143;25;52651.2134896;
Gironès;53532.1885174;395;1786.83876943;28;55319.0272868;
Maresme;192779.572268;1477;10547.1815523;109;203326.75382;
Moianès;14635.9516274;150;300.500036534;3;14936.4516639;
Montsià;31831.1011334;279;654.220457382;5;32485.3215908;
Noguera;79736.2423465;810;6049.86041429;97;85786.1027608;
Osona;130487.444896;1213;7982.61489759;86;138470.059794;
Pallars Jussà;54176.5754281;568;7954.4310383;111;62131.0064664;
Pallars Sobirà;27228.1750896;324;14847.5696873;212;42075.7447769;
Pla de l'Estany;19258.5505937;207;10653.5002416;128;29912.0508353;
Pla d'Urgell;55644.4162455;497;69.6148909827;1;55714.0311365;
Priorat;46691.8597508;463;286.449217259;5;46978.3089681;
Ribera d'Ebre;37186.6960036;418;475.839046288;12;37662.5350498;
Ripollès;56435.9328695;438;2469.49097322;13;58905.4238428;
Segarra;65254.2901412;762;1054.37637005;11;66308.6665112;
Segrià;163375.146148;1162;3253.78798784;37;166628.934136;
Selva;115293.000209;823;900.886264753;11;116193.886474;
Solsonès;28651.9766655;237;952.607776509;24;29604.584442;
Tarragonès;110056.352626;1020;2296.20245639;23;112352.555083;
Terra Alta;25326.9681255;228;940.94380408;17;26267.9119296;
Urgell;52280.7934296;578;705.427491707;21;52986.2209213;
Val d'Aran;31029.6103206;352;4648.85728184;73;35678.4676025;
Vallès Occidental;291478.901247;2498;9232.84112442;62;300711.742371;
Vallès Oriental;212608.185818;1615;5797.35073357;65;218405.536551;
