Alta Ribagorça,16864.3969543,165,1138.8435651,16,18003.2405194,
Alt Camp,98539.2169102,600,789.442111536,27,99328.6590217,
Alt Empordà,110489.039468,1208,8321.74753409,120,118810.787002,
Alt Penedès,23522.5772744,228,3532.49551333,53,27055.0727877,
Alt Urgell,71633.87234,613,10356.0242189,119,81989.8965589,
Anoia,91976.335819,750,3809.86968937,74,95786.2055083,
Bages,192578.128977,1619,6080.74778641,91,198658.876764,
Baix Camp,105697.912179,1262,2207.99530595,25,107905.907484,
Baix Ebre,72825.4019221,658,648.852607704,16,73474.2545298,
Baix Empordà,150790.197014,1148,15094.7139869,143,165884.911001,
Baix Llobregat,133158.063496,1108,2204.86714003,25,135362.930636,
Baix Penedès,13479.5650073,152,1035.81480682,11,14515.3798141,
Barcelonès,10346.6087813,129,1241.34051407,19,11587.9492953,
Berguedà,78636.3774911,656,8982.17533849,83,87618.5528296,
Cerdanya,72392.0154001,542,5511.82871828,59,77903.8441184,
Conca de Barberà,44081.166878,480,1539.72613531,36,45620.8930134,
Garraf,10125.9227784,123,1663.63884602,17,11789.5616244,
Garrigues,31464.0770339,299,875.315749092,16,32339.392783,
Garrotxa,49264.1634144,455,3474.48085538,24,52738.6442698,
Gironès,49925.8349048,378,1615.09106856,25,51540.9259733,
Maresme,284353.501371,1768,10584.8348869,109,294938.336257,
Moianès,14664.2584878,152,300.500036534,3,14964.7585243,
Montsià,34153.4820883,290,241.134567334,2,34394.6166556,
Noguera,79464.11266,805,5864.8461514,90,85328.9588114,
Osona,130616.464598,1208,7982.61489759,85,138599.079495,
Pallars Jussà,55476.0826433,574,8159.61431146,110,63635.6969548,
Pallars Sobirà,27228.0008417,324,14570.9997231,206,41799.0005649,
Pla de l'Estany,19194.43258,192,10032.4554914,120,29226.8880714,
Pla d'Urgell,91999.6718761,664,69.6148909827,1,92069.286767,
Priorat,47322.2471694,464,286.449217259,5,47608.6963867,
Ribera d'Ebre,47633.4514959,479,554.439090625,13,48187.8905865,
Ripollès,56552.3654341,435,2469.49097322,13,59021.8564073,
Segarra,65356.2771685,763,1013.13608485,10,66369.4132534,
Segrià,196415.844317,1397,3653.60103067,41,200069.445348,
Selva,112697.523254,810,900.886264753,11,113598.409519,
Solsonès,28627.6032302,236,952.607776509,24,29580.2110067,
Tarragonès,165418.511846,1623,1995.67026817,24,167414.182115,
Terra Alta,26474.9590309,239,940.94380408,17,27415.902835,
Urgell,52326.7598668,579,705.427491707,21,53032.1873585,
Val d'Aran,30803.3629415,350,4648.85728184,73,35452.2202233,
Vallès Occidental,338977.992718,2779,9736.33112881,64,348714.323847,
Vallès Oriental,304171.359693,1884,5846.05615336,65,310017.415847,
