Alta Ribagorça,16755.6470883,163,1138.8435651,16,17894.4906534,
Alt Camp,98578.8587412,599,789.442111536,27,99368.3008527,
Alt Empordà,110562.5352,1204,8225.20830253,119,118787.743503,
Alt Penedès,23522.5772744,228,3532.49551333,53,27055.0727877,
Alt Urgell,71764.8276519,614,10451.7011537,122,82216.5288055,
Anoia,90612.1610486,745,4273.72152365,75,94885.8825722,
Bages,192378.517781,1614,6106.25609767,92,198484.773879,
Baix Camp,105035.528455,1276,2207.99530595,25,107243.523761,
Baix Ebre,72473.22367,656,646.438365817,16,73119.6620358,
Baix Empordà,150442.694465,1118,15094.7139869,143,165537.408452,
Baix Llobregat,130054.641789,1084,2204.86714003,25,132259.508929,
Baix Penedès,11563.9988058,145,1035.81480682,11,12599.8136127,
Barcelonès,8985.52119117,130,1157.58125186,19,10143.102443,
Berguedà,78730.4468617,655,8982.17533849,81,87712.6222002,
Cerdanya,72336.3140783,541,5361.88544221,57,77698.1995205,
Conca de Barberà,44081.1668751,480,1539.72613531,36,45620.8930104,
Garraf,10125.9227784,123,1663.63884602,17,11789.5616244,
Garrigues,30863.0394816,295,875.315749092,16,31738.3552307,
Garrotxa,49598.3938429,452,3853.83773864,27,53452.2315815,
Gironès,45118.8690135,376,1544.60267697,24,46663.4716904,
Maresme,284507.548799,1765,10556.7342482,108,295064.283047,
Moianès,14830.655583,153,300.500036534,3,15131.1556196,
Montsià,34153.4820883,290,241.134567334,2,34394.6166556,
Noguera,79464.11266,805,5811.52665504,89,85275.6393151,
Osona,130986.181519,1213,8241.73225501,93,139227.913774,
Pallars Jussà,54238.9711886,560,8159.61431146,110,62398.5855,
Pallars Sobirà,27277.7893145,320,14592.3071414,206,41870.0964559,
Pla de l'Estany,19194.5119966,192,9893.45623955,119,29087.9682362,
Pla d'Urgell,91999.6718761,664,69.6148909827,1,92069.286767,
Priorat,47612.8289108,467,286.449217259,5,47899.278128,
Ribera d'Ebre,46787.7617631,466,554.439090625,13,47342.2008538,
Ripollès,60165.6960431,455,2469.49097322,13,62635.1870163,
Segarra,65267.6166239,757,1013.13608485,10,66280.7527088,
Segrià,196615.023691,1390,3653.60103067,41,200268.624721,
Selva,113965.683294,797,900.886264753,11,114866.569558,
Solsonès,28627.6032302,236,952.607776509,24,29580.2110067,
Tarragonès,167691.563675,1649,1995.67026817,24,169687.233943,
Terra Alta,26496.9093288,239,940.94380408,17,27437.8531329,
Urgell,53329.1645332,583,705.427491707,21,54034.5920249,
Val d'Aran,31943.2349288,313,2684.83722353,58,34628.0721523,
Vallès Occidental,337455.198167,2766,9736.33112881,64,347191.529296,
Vallès Oriental,305500.274078,1889,5950.33007476,66,311450.604153,
