Alta Ribagorça,16755.6470883,163,1138.8435651,16,17894.4906534,
Alt Camp,98582.2350773,599,789.442111536,27,99371.6771889,
Alt Empordà,111782.060623,1209,8225.20830253,119,120007.268925,
Alt Penedès,23367.3218756,227,3532.49551333,53,26899.8173889,
Alt Urgell,71764.8276519,614,10436.3897034,122,82201.2173553,
Anoia,90615.4591577,745,4273.72152365,75,94889.1806813,
Bages,192378.517781,1614,6106.25609767,92,198484.773879,
Baix Camp,105037.95232,1276,2207.99530595,25,107245.947626,
Baix Ebre,72533.5082679,657,646.438365817,16,73179.9466337,
Baix Empordà,151264.282577,1119,15201.9958299,142,166466.278407,
Baix Llobregat,132093.010998,1087,2174.62025215,24,134267.63125,
Baix Penedès,11563.9988058,145,1035.81480682,11,12599.8136127,
Barcelonès,9471.23543598,128,1157.58125186,19,10628.8166878,
Berguedà,78602.2650469,655,8982.17533849,81,87584.4403854,
Cerdanya,72336.3140783,541,5361.88544221,57,77698.1995205,
Conca de Barberà,44084.8140498,480,1539.72613531,36,45624.5401851,
Garraf,10125.9227784,123,1663.63884602,17,11789.5616244,
Garrigues,30863.0394816,295,875.315749092,16,31738.3552307,
Garrotxa,49598.3938429,452,3853.83773864,27,53452.2315815,
Gironès,48364.8513923,387,1544.60267697,24,49909.4540693,
Maresme,284549.963167,1766,10556.7342482,108,295106.697415,
Moianès,14830.655583,153,300.500036534,3,15131.1556196,
Montsià,34153.4820883,290,241.134567334,2,34394.6166556,
Noguera,79464.11266,805,5811.52665504,89,85275.6393151,
Osona,131927.737908,1224,8475.23609346,91,140402.974001,
Pallars Jussà,54238.9711886,560,8159.61431146,110,62398.5855,
Pallars Sobirà,27277.7893145,320,14592.3071414,206,41870.0964559,
Pla de l'Estany,19148.6742488,190,9890.63550956,119,29039.3097584,
Pla d'Urgell,91999.3395207,664,69.6148909827,1,92068.9544117,
Priorat,47612.8289108,467,286.449217259,5,47899.278128,
Ribera d'Ebre,46787.7617631,466,554.439090625,13,47342.2008538,
Ripollès,60165.6960431,455,2469.49097322,13,62635.1870163,
Segarra,65264.060501,757,1013.13608485,10,66277.1965859,
Segrià,197208.006317,1391,3653.60103067,41,200861.607348,
Selva,113926.252273,797,900.886264753,11,114827.138538,
Solsonès,28627.6032302,236,952.607776509,24,29580.2110067,
Tarragonès,167797.593101,1650,1995.67026817,24,169793.263369,
Terra Alta,26496.9093288,239,940.94380408,17,27437.8531329,
Urgell,54009.2470225,584,705.427491707,21,54714.6745142,
Val d'Aran,31943.2515687,312,2684.83722353,58,34628.0887923,
Vallès Occidental,337682.884122,2770,9736.33112881,64,347419.21525,
Vallès Oriental,305519.065775,1888,5950.33007476,66,311469.39585,
