Codi	Poblacio	Residential No Name(m)	Num Residential No Name	Living Street No Name(m)	Num Living Street No Name	Total No Name(m)	Total(Residential + Living street)	Perc280616
1080137	Avinyonet del Penedès	0,000	0	0,000	0	0,000	16.498,342	0,00
1080155	Badalona	693,922	6	0,000	0	693,922	233.531,279	0,00
1089045	Badia del Vallès	935,575	15	0,000	0	935,575	4.929,854	0,19
1080168	Bagà	4.062,827	39	0,000	0	4.062,827	7.762,230	0,52
250390	Baix Pallars	1.613,227	21	0,000	0	1.613,227	2.988,239	0,54
250404	Balaguer	16.956,171	117	0,000	0	16.956,171	46.622,937	0,36
1080174	Balenyà	5.621,869	43	0,000	0	5.621,869	15.972,463	0,35
1080180	Balsareny	4.197,193	45	0,000	0	4.197,193	16.637,190	0,25
430206	Banyeres del Penedès	309,992	4	0,000	0	309,992	30.091,537	0,01
170157	Banyoles	737,380	7	0,000	0	737,380	66.366,985	0,01
250411	Barbens	2.108,313	16	0,000	0	2.108,313	6.539,784	0,32
430213	Barberà de la Conca	577,707	6	0,000	0	577,707	6.256,683	0,09
1082520	Barberà del Vallès	14.566,473	132	647,652	5	15.214,125	77.841,084	0,20
1080193	Barcelona	21.412,326	233	600,519	11	22.012,845	932.660,734	0,02
170160	Bàscara	4.194,473	38	0,000	0	4.194,473	10.143,251	0,41
250447	Bassella	761,707	7	153,934	2	915,641	1.157,625	0,79
430228	Batea	1.513,977	23	0,000	0	1.513,977	9.725,669	0,16
250450	Bausen	679,033	10	0,000	0	679,033	1.056,078	0,64
1080207	Begues	2.666,516	30	0,000	0	2.666,516	50.805,817	0,05
170139	Begur	28.536,578	138	691,823	9	29.228,401	91.830,348	0,32
250463	Belianes	1.045,043	19	0,000	0	1.045,043	4.982,037	0,21
251706	Bellaguarda	64,996	2	0,000	0	64,996	1.868,195	0,03
170182	Bellcaire d'Empordà	1.506,332	13	0,000	0	1.506,332	6.221,074	0,24
250479	Bellcaire d'Urgell	10.253,538	56	0,000	0	10.253,538	11.992,456	0,85
250485	Bell-lloc d'Urgell	12.381,351	72	0,000	0	12.381,351	21.049,758	0,59
430234	Bellmunt del Priorat	2.875,375	18	0,000	0	2.875,375	2.875,375	1,00
250498	Bellmunt d'Urgell	386,950	6	0,000	0	386,950	3.243,369	0,12
1080214	Bellprat	0,000	0	0,000	0	0,000	1.073,241	0,00
250501	Bellpuig	17.448,114	111	0,000	0	17.448,114	20.986,873	0,83
430249	Bellvei	175,084	3	0,000	0	175,084	25.379,902	0,01
250518	Bellver de Cerdanya	11.357,287	79	3.223,674	34	14.580,960	31.229,729	0,47
250523	Bellvís	1.404,720	30	69,615	1	1.474,334	17.352,628	0,08
250539	Benavent de Segrià	1.610,785	18	0,000	0	1.610,785	5.012,649	0,32
430252	Benifallet	2.197,502	35	0,000	0	2.197,502	4.425,425	0,50
430265	Benissanet	1.955,934	18	0,000	0	1.955,934	4.926,533	0,40
1080229	Berga	20.391,862	146	1.525,238	10	21.917,099	44.998,863	0,49
170195	Besalú	363,806	1	0,000	0	363,806	18.635,541	0,02
170209	Bescanó	218,905	6	0,000	0	218,905	40.392,798	0,01
170216	Beuda	0,000	0	0,000	0	0,000	247,529	0,00
1080235	Bigues i Riells	10.584,554	57	191,735	3	10.776,289	114.040,634	0,09
250557	Biosca	2.259,525	32	0,000	0	2.259,525	2.681,686	0,84
172348	Biure	0,000	0	1.611,105	17	1.611,105	2.378,388	0,68
430290	Blancafort	1.172,194	13	0,000	0	1.172,194	4.235,698	0,28
170237	Blanes	3.124,371	47	0,000	0	3.124,371	83.129,375	0,04
170293	Boadella i les Escaules	170,032	5	0,000	0	170,032	2.578,896	0,07
170242	Bolvir	3.865,391	28	0,000	0	3.865,391	24.859,255	0,16
430304	Bonastre	0,000	0	0,000	0	0,000	8.563,863	0,00
170255	Bordils	0,000	0	0,000	0	0,000	11.270,029	0,00
170268	Borrassà	0,000	0	0,000	0	0,000	5.693,015	0,00
1080240	Borredà	3.737,154	31	0,000	0	3.737,154	4.276,619	0,87
250595	Bossòst	840,019	20	0,000	0	840,019	5.736,018	0,15
430326	Bot	1.153,106	18	0,000	0	1.153,106	5.095,428	0,23
430332	Botarell	1.877,356	10	0,000	0	1.877,356	6.094,770	0,31
250560	Bovera	266,083	5	0,000	0	266,083	2.513,246	0,11
430347	Bràfim	4.245,642	15	0,000	0	4.245,642	8.323,587	0,51
170274	Breda	6.051,981	43	0,000	0	6.051,981	16.328,003	0,37
170280	Brunyola	290,353	3	0,000	0	290,353	2.272,051	0,13
430350	Cabacés	2.669,139	21	0,000	0	2.669,139	4.677,998	0,57
250609	Cabanabona	640,473	17	0,000	0	640,473	1.806,946	0,35
170314	Cabanelles	13,288	1	0,000	0	13,288	709,471	0,02
170307	Cabanes	0,000	0	0,000	0	0,000	3.607,615	0,00
250616	Cabó	762,996	9	0,000	0	762,996	762,996	1,00
430363	Cabra del Camp	301,500	5	0,000	0	301,500	26.088,487	0,01
1080288	Cabrera d'Anoia	11.010,568	42	0,000	0	11.010,568	36.350,710	0,30
1080291	Cabrera de Mar	3.271,249	26	1.510,785	13	4.782,035	31.621,324	0,15
1080305	Cabrils	4.895,858	56	441,600	10	5.337,458	51.648,012	0,10
170329	Cadaqués	42,461	2	295,487	1	337,948	31.797,955	0,01
1080312	Calaf	6.115,491	57	202,476	9	6.317,967	17.507,848	0,36
430379	Calafell	596,955	8	0,000	0	596,955	155.955,794	0,00
1080348	Calders	1.899,454	19	0,000	0	1.899,454	14.086,433	0,13
170335	Caldes de Malavella	11.799,845	53	0,000	0	11.799,845	78.015,453	0,15
1080333	Caldes de Montbui	9.915,142	70	557,312	7	10.472,454	89.490,017	0,12
1080327	Caldes d'Estrac	4.421,789	16	133,438	4	4.555,227	14.278,571	0,32
1080351	Calella	15.677,963	72	382,300	5	16.060,263	35.862,200	0,45
1080370	Calldetenes	2.292,835	37	0,000	0	2.292,835	15.199,562	0,15
1080386	Callús	3.776,081	30	564,760	4	4.340,841	9.553,127	0,45
170340	Calonge	2.035,844	17	0,000	0	2.035,844	137.131,361	0,01
1080364	Calonge de Segarra	1.691,038	17	154,530	2	1.845,568	1.845,568	1,00
250621	Camarasa	3.951,210	42	182,446	2	4.133,655	8.618,349	0,48
439039	Camarles	1.836,644	15	0,000	0	1.836,644	18.785,065	0,10
430385	Cambrils	15.956,725	232	160,450	1	16.117,175	151.814,880	0,11
170353	Camós	1.639,148	19	552,277	7	2.191,425	5.415,979	0,40
170366	Campdevànol	10.200,356	58	0,000	0	10.200,356	18.427,467	0,55
170372	Campelles	1.796,386	14	0,000	0	1.796,386	1.796,386	1,00
1080399	Campins	3.985,807	16	0,000	0	3.985,807	5.393,488	0,74
170388	Campllong	1.011,121	6	0,000	0	1.011,121	4.864,681	0,21
170391	Camprodon	6.663,117	73	0,000	0	6.663,117	19.328,711	0,34
250637	Canejan	824,564	12	0,000	0	824,564	937,905	0,88
170405	Canet d'Adri	165,499	1	0,000	0	165,499	6.137,663	0,03
1080403	Canet de Mar	6.942,809	79	6,902	1	6.949,711	35.383,853	0,20
1080410	Canovelles	2.515,487	20	0,000	0	2.515,487	38.612,501	0,07
1080425	Cànoves i Samalús	15.291,935	64	0,000	0	15.291,935	27.428,492	0,56
170412	Cantallops	344,428	8	0,000	0	344,428	5.389,473	0,06
1080431	Canyelles	0,000	0	0,000	0	0,000	56.600,589	0,00
430398	Capafonts	1.581,898	20	0,000	0	1.581,898	2.233,871	0,71
430402	Capçanes	2.618,334	16	0,000	0	2.618,334	2.618,334	1,00
1080446	Capellades	1.531,918	15	0,000	0	1.531,918	16.930,765	0,09
170427	Capmany	0,000	0	0,000	0	0,000	5.821,772	0,00
1080459	Capolat	80,158	1	0,000	0	80,158	80,158	1,00
1080462	Cardedeu	6.888,568	64	0,000	0	6.888,568	68.541,425	0,10
1080478	Cardona	10.286,515	55	761,469	14	11.047,984	20.149,488	0,55
1080484	Carme	1.197,673	17	0,000	0	1.197,673	10.213,994	0,12
430419	Caseres	895,647	12	0,000	0	895,647	2.242,121	0,40
170448	Cassà de la Selva	2.772,282	10	0,000	0	2.772,282	37.911,147	0,07
1080497	Casserres	2.191,869	17	396,770	7	2.588,639	8.274,958	0,31
1080575	Castell de l'Areny	798,693	3	0,000	0	798,693	798,693	1,00
259046	Castell de Mur	1.776,102	17	0,000	0	1.776,102	3.079,276	0,58
250642	Castellar de la Ribera	320,632	2	0,000	0	320,632	320,632	1,00
1080522	Castellar de n'Hug	976,744	4	2.601,638	19	3.578,382	4.679,272	0,76
1080500	Castellar del Riu	1.576,743	9	0,000	0	1.576,743	1.576,743	1,00
1080517	Castellar del Vallès	36.178,290	144	481,516	4	36.659,806	102.278,299	0,36
1080538	Castellbell i el Vilar	20.631,840	106	0,000	0	20.631,840	36.744,874	0,56
1080543	Castellbisbal	7.244,944	53	21,739	1	7.266,682	81.649,813	0,09
1080556	Castellcir	390,915	2	0,000	0	390,915	12.335,940	0,03
250674	Castelldans	3.594,005	27	0,000	0	3.594,005	5.304,725	0,68
1080569	Castelldefels	16.064,047	189	67,883	4	16.131,930	140.324,242	0,11
1080581	Castellet i la Gornal	0,000	0	0,000	0	0,000	38.465,195	0,00
170464	Castellfollit de la Roca	1.169,181	14	0,000	0	1.169,181	2.710,475	0,43
1080608	Castellfollit de Riubregós	0,000	0	97,117	5	97,117	1.406,590	0,07
1080594	Castellfollit del Boix	1.211,611	7	0,000	0	1.211,611	1.269,962	0,95
1080615	Castellgalí	7.097,536	54	0,000	0	7.097,536	22.969,551	0,31
1080620	Castellnou de Bages	3.621,086	27	0,000	0	3.621,086	17.969,025	0,20
250680	Castellnou de Seana	851,512	14	0,000	0	851,512	5.100,326	0,17
250693	Castelló de Farfanya	4.685,363	39	0,000	0	4.685,363	6.562,764	0,71
170470	Castelló d'Empúries	1.694,020	35	0,000	0	1.694,020	86.832,890	0,02
1080636	Castellolí	1.669,313	15	0,000	0	1.669,313	4.379,806	0,38
170486	Castell-Platja d'Aro	1.760,692	19	0,000	0	1.760,692	123.064,018	0,01
250707	Castellserà	6.559,167	42	0,000	0	6.559,167	7.436,549	0,88
1080641	Castellterçol	1.223,255	25	0,000	0	1.223,255	17.175,481	0,07
430424	Castellvell del Camp	18.882,998	51	0,000	0	18.882,998	26.759,613	0,71
1080654	Castellví de la Marca	17,328	1	0,000	0	17,328	6.989,642	0,00
1080667	Castellví de Rosanes	10.010,526	26	0,000	0	10.010,526	20.617,918	0,49
250714	Cava	1.820,553	21	0,000	0	1.820,553	1.841,132	0,99
170499	Celrà	523,988	7	0,000	0	523,988	33.537,919	0,02
1080673	Centelles	6.068,286	84	247,426	8	6.315,711	32.985,049	0,19
1082687	Cercs	5.457,145	49	67,740	1	5.524,885	11.609,586	0,48
1082665	Cerdanyola del Vallès	13.951,090	133	118,999	3	14.070,090	116.169,344	0,12
1080689	Cervelló	5.723,994	51	0,000	0	5.723,994	56.759,995	0,10
250729	Cervera	12.506,408	123	270,626	4	12.777,034	51.094,235	0,25
250735	Cervià de les Garrigues	335,263	7	0,000	0	335,263	4.906,272	0,07
170502	Cervià de Ter	305,392	9	0,000	0	305,392	7.062,712	0,04
170519	Cistella	2.000,140	11	0,000	0	2.000,140	3.217,697	0,62
250740	Ciutadilla	452,674	8	0,000	0	452,674	2.337,381	0,19
250753	Clariana de Cardener	293,399	3	0,000	0	293,399	293,399	1,00
170545	Colera	313,326	11	92,144	1	405,470	9.219,542	0,04
250772	Coll de Nargó	1.959,317	22	1.015,114	25	2.974,431	4.589,797	0,65
1080692	Collbató	10.985,503	73	228,482	2	11.213,985	46.655,198	0,24
430458	Colldejou	1.351,692	20	0,000	0	1.351,692	1.767,417	0,76
1080706	Collsuspina	299,279	4	0,000	0	299,279	5.113,101	0,06
170558	Colomers	212,223	2	847,114	12	1.059,337	3.118,452	0,34
251615	Conca de Dalt	4.306,437	34	905,195	8	5.211,632	5.495,868	0,95
430461	Conesa	1.749,418	26	0,000	0	1.749,418	1.749,418	1,00
430477	Constantí	12.591,533	83	76,414	1	12.667,947	43.610,480	0,29
1080713	Copons	1.444,440	16	0,000	0	1.444,440	1.444,440	1,00
1080728	Corbera de Llobregat	18.225,127	86	80,662	1	18.305,789	132.268,259	0,14
430483	Corbera d'Ebre	1.619,362	21	0,000	0	1.619,362	7.641,361	0,21
250788	Corbins	1.337,448	17	0,000	0	1.337,448	8.110,830	0,16
170577	Corçà	5.516,182	28	819,887	10	6.336,068	9.685,641	0,65
1080734	Cornellà de Llobregat	681,079	10	0,000	0	681,079	79.269,417	0,01
170561	Cornellà del Terri	741,084	7	382,321	5	1.123,405	16.359,638	0,07
430496	Cornudella de Montsant	3.051,417	39	0,000	0	3.051,417	6.827,950	0,45
430509	Creixell	4.999,309	55	48,329	1	5.047,638	47.978,670	0,11
170583	Crespià	52,609	1	29,986	1	82,595	2.454,869	0,03
179011	Cruïlles	4079,088077	29,000	1817,789459	19,000	5.896,878	9.970,669	0,59
1080749	Cubelles	333,141	8	0,000	0	333,141	82.860,698	0,00
250791	Cubells	2.875,046	43	0,000	0	2.875,046	7.904,467	0,36
430516	Cunit	9,683	1	0,000	0	9,683	100.149,018	0,00
170600	Darnius	0,000	0	0,000	0	0,000	4.138,225	0,00
170617	Das	6.591,135	24	0,000	0	6.591,135	10.349,943	0,64
439018	Deltebre	11.848,753	96	0,000	0	11.848,753	81.913,429	0,14
1080752	Dosrius	19.947,019	82	107,744	1	20.054,763	54.729,504	0,37
430537	Duesaigües	2.024,848	24	0,000	0	2.024,848	2.505,103	0,81
1080253	el Bruc	5.644,851	38	0,000	0	5.644,851	25.165,496	0,22
1080266	el Brull	571,970	4	0,000	0	571,970	3.310,800	0,17
430430	el Catllar	36.512,131	177	0,000	0	36.512,131	68.332,853	0,53
250766	el Cogul	1.423,936	17	0,000	0	1.423,936	2.350,852	0,61
170059	el Far d'Empordà	0,000	0	0,000	0	0,000	6.959,281	0,00
430727	el Lloar	1.497,733	9	0,000	0	1.497,733	1.672,335	0,90
1081189	el Masnou	2.457,436	23	71,847	1	2.529,283	52.387,038	0,05
430825	el Masroig	403,509	13	0,000	0	403,509	3.199,177	0,13
430831	el Milà	0,000	0	0,000	0	0,000	1.016,593	0,00
430859	el Molar	238,489	7	0,000	0	238,489	2.371,024	0,10
430901	el Montmell	0,000	0	0,000	0	0,000	27.923,782	0,00
430957	el Morell	2.491,020	19	0,000	0	2.491,020	13.381,481	0,19
251581	el Palau d'Anglesola	14.405,292	93	0,000	0	14.405,292	31.116,284	0,46
1081580	el Papiol	2.426,178	26	0,000	0	2.426,178	15.781,795	0,15
431042	el Perelló	6.858,863	48	0,000	0	6.858,863	19.394,452	0,35
431068	el Pinell de Brai	4.208,946	54	0,000	0	4.208,946	6.434,943	0,65
431080	el Pla de Santa Maria	24.264,717	105	0,000	0	24.264,717	22.319,429	1,09
1081640	el Pla del Penedès	0,000	0	0,000	0	0,000	4.460,767	0,00
251689	el Poal	1.179,265	14	0,000	0	1.179,265	6.830,763	0,17
431135	el Pont d'Armentera	2.923,928	20	0,000	0	2.923,928	3.871,367	0,76
250306	el Pont de Bar	3.464,113	33	740,323	7	4.204,436	4.204,436	1,00
251734	el Pont de Suert	8.976,694	67	608,808	7	9.585,502	13.922,747	0,69
1081825	el Pont de Vilomara i Rocafort	7.419,555	62	65,911	3	7.485,466	33.527,889	0,22
171404	el Port de la Selva	12.831,045	93	0,000	0	12.831,045	29.289,019	0,44
1081691	el Prat de Llobregat	19.530,913	190	885,498	12	20.416,411	67.524,664	0,30
431346	el Rourell	2.383,863	13	0,000	0	2.383,863	2.383,863	1,00
252069	el Soleràs	198,963	4	0,000	0	198,963	2.273,675	0,09
431634	el Vendrell	1.164,441	23	20,364	1	1.184,805	207.752,211	0,01
252537	el Vilosell	96,936	1	0,000	0	96,936	3.184,973	0,03
250045	els Alamús	1.175,377	8	0,000	0	1.175,377	3.925,921	0,30
430666	els Garidells	3.718,661	18	0,000	0	3.718,661	3.718,661	1,00
430705	els Guiamets	467,315	5	0,000	0	467,315	1.583,012	0,30
1081629	els Hostalets de Pierola	8.194,826	39	0,000	0	8.194,826	35.564,319	0,23
251538	els Omellons	349,800	3	0,000	0	349,800	2.337,613	0,15
251543	els Omells de na Gaia	485,454	7	0,000	0	485,454	3.175,323	0,15
431009	els Pallaresos	6.900,851	60	0,000	0	6.900,851	41.270,520	0,17
259118	els Plans de Sió	4.394,232	56	0,000	0	4.394,232	8.313,180	0,53
1081705	els Prats de Rei	1.234,614	15	0,000	0	1.234,614	3.693,628	0,33
252249	els Torms	707,807	14	0,000	0	707,807	1.731,195	0,41
250576	es Bòrdes	1.363,120	17	0,000	0	1.363,120	2.733,317	0,50
1080765	Esparreguera	29.411,088	138	0,000	0	29.411,088	60.953,301	0,48
170638	Espinelves	929,251	9	0,000	0	929,251	2.701,181	0,34
1080771	Esplugues de Llobregat	194,844	9	0,000	0	194,844	57.096,392	0,00
170643	Espolla	0,000	0	0,000	0	0,000	4.527,655	0,00
170656	Esponellà	139,989	1	764,011	5	904,000	1.562,127	0,58
250827	Espot	3.533,670	37	0,000	0	3.533,670	5.222,892	0,68
250886	Estamariu	108,383	2	0,000	0	108,383	1.236,436	0,09
250851	Estaràs	2.553,777	17	0,000	0	2.553,777	3.193,185	0,80
250864	Esterri d'Àneu	3.479,088	23	0,000	0	3.479,088	7.643,886	0,46
250870	Esterri de Cardós	354,637	6	0,000	0	354,637	354,637	1,00
430555	Falset	4.540,880	58	0,000	0	4.540,880	11.730,749	0,39
250899	Farrera	696,704	4	945,606	9	1.642,310	1.689,850	0,97
1081347	Figaró-Montmany	548,578	2	0,000	0	548,578	8.048,151	0,07
1080804	Fígols	578,384	8	0,000	0	578,384	578,384	1,00
259084	Fígols i Alinyà	2.188,044	21	822,706	4	3.010,751	3.467,989	0,87
170669	Figueres	12,446	2	0,000	0	12,446	95.505,250	0,00
430593	Figuerola del Camp	2.122,679	27	0,000	0	2.122,679	2.250,742	0,94
170675	Flaçà	0,000	0	0,000	0	0,000	7.258,794	0,00
430607	Flix	4.502,507	48	0,000	0	4.502,507	21.544,280	0,21
1080826	Fogars de la Selva	1.883,746	9	0,000	0	1.883,746	22.715,028	0,08
1080811	Fogars de Montclús	2.436,682	12	0,000	0	2.436,682	2.436,682	1,00
170681	Foixà	502,274	2	636,137	2	1.138,411	2.554,647	0,45
1080832	Folgueroles	1.171,244	17	96,890	1	1.268,134	11.748,769	0,11
250931	Fondarella	5.325,351	30	0,000	0	5.325,351	7.072,876	0,75
1080847	Fonollosa	4.051,247	36	0,000	0	4.051,247	16.560,155	0,24
170694	Fontanals de Cerdanya	11.454,990	70	0,000	0	11.454,990	14.852,582	0,77
170708	Fontanilles	1.109,905	10	705,160	10	1.815,065	2.680,605	0,68
170715	Fontcoberta	218,970	1	658,905	11	877,875	9.289,929	0,09
1080850	Font-rubí	0,000	0	0,000	0	0,000	8.317,274	0,00
250946	Foradada	412,707	6	755,730	8	1.168,437	3.736,052	0,31
179026	Forallac	11.407,352	58	162,730	2	11.570,082	23.186,215	0,50
430614	Forès	1.501,047	29	0,000	0	1.501,047	2.031,583	0,74
170736	Fornells de la Selva	2.754,202	8	0,000	0	2.754,202	26.709,890	0,10
170741	Fortià	0,000	0	0,000	0	0,000	7.841,097	0,00
430629	Freginals	210,092	2	0,000	0	210,092	2.365,522	0,09
250978	Fulleda	897,594	14	0,000	0	897,594	1.934,703	0,46
1080902	Gaià	562,011	5	0,000	0	562,011	562,011	1,00
1080879	Gallifa	1.424,609	7	0,000	0	1.424,609	3.593,068	0,40
430640	Gandesa	3.197,113	32	0,000	0	3.197,113	14.858,720	0,22
430653	Garcia	2.873,904	41	0,000	0	2.873,904	4.755,538	0,60
170754	Garrigàs	1.375,191	8	368,512	4	1.743,703	3.827,723	0,46
170767	Garrigoles	513,421	5	1.022,477	10	1.535,898	2.307,176	0,67
170773	Garriguella	222,379	2	0,000	0	222,379	10.593,755	0,02
1080898	Gavà	11.389,566	77	31,897	1	11.421,463	85.358,945	0,13
250984	Gavet de la Conca	4.864,409	61	1.695,901	18	6.560,310	6.560,310	1,00
1080919	Gelida	88,774	2	0,000	0	88,774	35.050,780	0,00
170789	Ger	4.098,992	30	0,000	0	4.098,992	11.958,158	0,34
259123	Gimenells i el Pla de la Font	3.058,528	17	0,000	0	3.058,528	11.026,643	0,28
430672	Ginestar	1.938,809	30	0,000	0	1.938,809	3.887,371	0,50
170792	Girona	1.284,472	18	20,241	2	1.304,713	199.546,916	0,01
1080924	Gironella	8.777,258	78	609,783	8	9.387,041	18.082,041	0,52
1080930	Gisclareny	0,000	0	0,000	0	0,000	0,000	1,00
430688	Godall	58,224	1	0,000	0	58,224	5.075,770	0,01
250997	Golmés	17.369,139	78	0,000	0	17.369,139	22.496,414	0,77
170806	Gombrèn	7.142,533	27	0,000	0	7.142,533	7.739,101	0,92
251001	Gósol	1.035,569	8	2.809,150	22	3.844,720	4.094,714	0,94
1080958	Granera	296,812	3	0,000	0	296,812	947,850	0,31
1080961	Granollers	14.267,639	73	0,000	0	14.267,639	109.209,124	0,13
251039	Granyanella	5.228,951	44	0,000	0	5.228,951	6.388,491	0,82
251057	Granyena de les Garrigues	206,559	5	0,000	0	206,559	1.853,183	0,11
251044	Granyena de Segarra	1.984,878	17	0,000	0	1.984,878	1.984,878	1,00
430691	Gratallops	3.333,316	42	0,000	0	3.333,316	3.611,948	0,92
1080977	Gualba	3.574,015	23	0,000	0	3.574,015	18.549,839	0,19
170813	Gualta	366,217	6	3.353,310	14	3.719,527	4.405,822	0,84
1080996	Guardiola de Berguedà	2.552,399	18	0,000	0	2.552,399	4.853,314	0,53
170828	Guils de Cerdanya	5.163,196	45	0,000	0	5.163,196	14.779,045	0,35
251095	Guimerà	2.154,773	37	0,000	0	2.154,773	4.059,925	0,53
251109	Guissona	7.025,219	54	0,000	0	7.025,219	21.360,965	0,33
251116	Guixers	1.439,248	4	0,000	0	1.439,248	1.439,248	1,00
1081000	Gurb	8.847,194	57	1.183,151	6	10.030,345	33.906,062	0,30
430712	Horta de Sant Joan	2.032,992	18	0,000	0	2.032,992	9.783,889	0,21
170834	Hostalric	286,231	10	0,000	0	286,231	20.849,252	0,01
1081022	Igualada	4.312,833	54	246,127	2	4.558,959	95.535,892	0,05
251155	Isona i Conca Dellà	4.960,757	58	3.711,712	55	8.672,469	17.538,165	0,49
170849	Isòvol	1.501,345	17	1.539,316	12	3.040,661	5.955,267	0,51
251121	Ivars de Noguera	3.766,032	27	0,000	0	3.766,032	3.884,166	0,97
251137	Ivars d'Urgell	4.180,259	45	0,000	0	4.180,259	10.421,004	0,40
251142	Ivorra	475,598	9	0,000	0	475,598	1.312,443	0,36
170852	Jafre	3.579,296	23	0,000	0	3.579,296	3.792,778	0,94
1081038	Jorba	6.699,507	39	0,000	0	6.699,507	9.074,673	0,74
259101	Josa i Tuixén	3.394,704	33	0,000	0	3.394,704	3.394,704	1,00
170871	Juià	0,000	0	0,000	0	0,000	1.589,942	0,00
251180	Juncosa	7.701,217	27	0,000	0	7.701,217	7.701,217	1,00
251193	Juneda	2.192,395	24	102,191	2	2.294,587	13.643,424	0,17
250426	la Baronia de Rialb	2.330,003	14	0,000	0	2.330,003	2.330,003	1,00
430271	la Bisbal de Falset	2.947,777	20	0,000	0	2.947,777	2.947,777	1,00
430287	la Bisbal del Penedès	3,118	1	0,000	0	3,118	67.910,989	0,00
170221	la Bisbal d'Empordà	7.897,845	58	101,279	3	7.999,124	33.977,264	0,24
439076	la Canonja	13.283,715	66	0,000	0	13.283,715	25.772,433	0,52
171899	la Cellera de Ter	0,000	0	0,000	0	0,000	11.806,307	0,00
251636	la Coma i la Pedra	6.068,941	28	0,000	0	6.068,941	11.527,773	0,53
430568	la Fatarella	7.963,526	21	0,000	0	7.963,526	11.366,169	0,70
430574	la Febró	271,250	3	0,000	0	271,250	995,490	0,27
430580	la Figuera	408,534	5	0,000	0	408,534	1.716,745	0,24
250925	la Floresta	1.150,643	12	0,000	0	1.150,643	1.843,417	0,62
250962	la Fuliola	5.208,883	46	0,000	0	5.208,883	9.175,954	0,57
430635	la Galera	535,308	7	0,000	0	535,308	5.585,447	0,10
1080885	la Garriga	11.539,044	112	560,537	9	12.099,581	65.318,399	0,19
1080945	la Granada	178,889	2	0,000	0	178,889	11.036,391	0,02
251018	la Granadella	786,262	14	0,000	0	786,262	4.995,816	0,16
251023	la Granja d'Escarp	2.644,114	20	0,000	0	2.644,114	3.536,714	0,75
259031	la Guingueta d'Àneu	3.010,842	30	1.858,358	19	4.869,200	5.323,214	0,91
170865	la Jonquera	4.238,553	64	0,000	0	4.238,553	19.557,083	0,22
1081043	la Llacuna	0,000	0	0,000	0	0,000	12.592,793	0,00
1081056	la Llagosta	2.416,073	28	922,600	9	3.338,673	18.484,306	0,18
430803	la Masó	0,000	0	0,000	0	0,000	1.063,739	0,00
251364	la Molsosa	1.821,200	16	354,967	5	2.176,167	2.176,167	1,00
430960	la Morera de Montsant	1.043,606	12	0,000	0	1.043,606	2.044,900	0,51
1081424	la Nou de Berguedà	1.121,071	6	0,000	0	1.121,071	1.121,071	1,00
430976	la Nou de Gaià	48,789	2	82,582	5	131,371	3.371,730	0,04
1089058	la Palma de Cervelló	935,411	7	0,000	0	935,411	9.922,700	0,09
430995	la Palma d'Ebre	5.445,021	44	0,000	0	5.445,021	5.445,021	1,00
171306	la Pera	2.037,185	22	0,000	0	2.037,185	2.927,137	0,70
251692	la Pobla de Cérvoles	157,564	2	0,000	0	157,564	2.312,675	0,07
1081653	la Pobla de Claramunt	7.298,817	39	0,000	0	7.298,817	20.174,135	0,36
1081666	la Pobla de Lillet	5.681,583	54	0,000	0	5.681,583	6.856,571	0,83
431093	la Pobla de Mafumet	11.967,456	62	0,000	0	11.967,456	17.520,180	0,68
431107	la Pobla de Massaluca	390,985	8	0,000	0	390,985	2.408,749	0,16
431114	la Pobla de Montornès	4.128,118	49	70,243	1	4.198,361	37.591,443	0,11
251713	la Pobla de Segur	3.314,439	39	0,000	0	3.314,439	11.524,397	0,29
251749	la Portella	1.921,103	21	0,000	0	1.921,103	2.403,890	0,80
1081770	la Quar	0,000	0	20,396	1	20,396	20,396	1,00
431248	la Riba	2.952,488	30	0,000	0	2.952,488	3.521,941	0,84
431264	la Riera de Gaià	4.434,658	24	0,000	0	4.434,658	9.260,470	0,48
1081810	la Roca del Vallès	13.756,116	68	351,410	2	14.107,526	58.590,247	0,24
431444	la Secuita	8.213,715	47	0,000	0	8.213,715	18.618,219	0,44
171886	la Selva de Mar	2.026,973	19	0,000	0	2.026,973	2.832,240	0,72
431457	la Selva del Camp	2.188,647	33	0,000	0	2.188,647	16.124,135	0,14
430445	la Sénia	5.079,123	28	0,000	0	5.079,123	29.671,174	0,17
250352	la Sentiu de Sió	2.674,495	15	0,000	0	2.674,495	8.031,184	0,33
252038	la Seu d'Urgell	16.181,681	105	1.761,764	25	17.943,445	33.503,271	0,54
171959	la Tallada d'Empordà	2.244,209	23	0,000	0	2.244,209	6.209,814	0,36
252271	la Torre de Cabdella	4.188,969	61	198,802	3	4.387,771	6.186,667	0,71
1082861	la Torre de Claramunt	1.211,729	19	0,000	0	1.211,729	50.910,415	0,02
431515	la Torre de Fontaubella	660,382	7	0,000	0	660,382	1.674,613	0,39
431520	la Torre de l'Espanyol	883,630	7	0,000	0	883,630	4.412,979	0,20
170144	La Vajol	0,000	0	0,000	0	0,000	1.547,914	0,00
172082	la Vall de Bianya	4.054,630	34	0,000	0	4.054,630	7.805,508	0,52
250432	la Vall de Boí	5.295,346	69	530,036	9	5.825,382	12.388,018	0,47
172076	la Vall d'en Bas	7.937,137	60	416,907	2	8.354,044	18.357,489	0,46
