Codi	Poblacio	Residential No Name(m)	Num Residential No Name	Living Street No Name(m)	Num Living Street No Name	Total No Name(m)	Total(Residential + Living street)	Perc280616
1082711	Sobremunt	1.088,276	9	0,000	0	1.088,276	1.088,276	1,00
431476	Solivella	4.507,154	35	0,000	0	4.507,154	4.507,154	1,00
252075	Solsona	4.388,502	66	0,000	0	4.388,502	34.115,360	0,13
1082726	Sora	3.233,113	25	0,000	0	3.233,113	4.094,847	0,79
252081	Soriguera	4.022,459	48	627,149	7	4.649,608	4.649,608	1,00
252094	Sort	9.111,829	130	1.411,250	12	10.523,078	16.253,823	0,65
252108	Soses	1.956,040	13	0,000	0	1.956,040	4.603,773	0,42
1082732	Subirats	0,000	0	0,000	0	0,000	30.487,550	0,00
252115	Sudanell	1.963,998	26	112,026	1	2.076,024	6.929,785	0,30
252120	Sunyer	1.815,054	11	0,000	0	1.815,054	2.344,034	0,77
1082747	Súria	4.439,322	44	402,947	5	4.842,269	17.976,338	0,27
171946	Susqueda	0,000	0	0,000	0	0,000	0,000	1,00
1082763	Tagamanent	614,518	5	0,000	0	614,518	6.557,570	0,09
1082779	Talamanca	446,803	8	0,000	0	446,803	5.134,667	0,09
252154	Talarn	8.633,586	42	53,833	2	8.687,419	10.618,262	0,82
252167	Talavera	4.278,137	39	272,486	2	4.550,623	5.749,604	0,79
1082785	Taradell	6.433,679	42	0,000	0	6.433,679	35.479,104	0,18
431482	Tarragona	84.249,168	770	135,238	2	84.384,406	284.621,969	0,30
252173	Tàrrega	8.002,141	117	276,392	6	8.278,533	61.672,729	0,13
252189	Tarrés	531,654	5	0,000	0	531,654	1.661,457	0,32
252192	Tarroja de Segarra	101,032	4	0,000	0	101,032	2.054,755	0,05
1082750	Tavèrnoles	213,254	2	0,000	0	213,254	2.012,226	0,11
1082802	Tavertet	545,258	11	0,000	0	545,258	1.832,243	0,30
1082819	Teià	3.593,841	42	0,000	0	3.593,841	31.623,087	0,11
252206	Térmens	6.633,602	37	0,000	0	6.633,602	10.695,711	0,62
171962	Terrades	343,828	1	0,000	0	343,828	2.210,706	0,16
1082798	Terrassa	40.471,362	348	1.347,522	7	41.818,885	372.418,819	0,11
1082824	Tiana	976,203	7	46,799	1	1.023,003	27.632,152	0,04
252213	Tírvia	44,294	1	1.246,346	14	1.290,640	1.699,794	0,76
252228	Tiurana	590,812	7	0,000	0	590,812	863,511	0,68
431495	Tivenys	640,645	14	0,000	0	640,645	4.508,404	0,14
431508	Tivissa	5.353,180	65	0,000	0	5.353,180	8.642,655	0,62
1082830	Tona	3.069,910	40	331,421	5	3.401,331	39.682,774	0,09
252234	Torà	2.573,451	30	0,000	0	2.573,451	9.110,895	0,28
1082845	Tordera	54.525,628	193	131,363	4	54.656,991	102.613,823	0,53
1082858	Torelló	4.851,634	56	861,237	2	5.712,871	49.346,993	0,12
252252	Tornabous	2.672,699	14	0,000	0	2.672,699	5.589,928	0,48
252265	Torrebesses	3.323,738	28	0,000	0	3.323,738	3.323,738	1,00
431536	Torredembarra	8.380,595	108	513,963	6	8.894,558	79.243,669	0,11
252287	Torrefarrera	15.814,879	74	414,324	3	16.229,202	23.655,145	0,69
259078	Torrefeta i Florejacs	3.868,416	69	0,000	0	3.868,416	9.830,171	0,39
252304	Torregrossa	12.035,548	59	27,800	1	12.063,349	12.988,607	0,93
252311	Torrelameu	0,000	0	1.109,800	11	1.109,800	3.765,237	0,29
1082877	Torrelavit	481,684	4	0,000	0	481,684	10.713,654	0,04
1082883	Torrelles de Foix	0,000	0	0,000	0	0,000	24.550,125	0,00
1082896	Torrelles de Llobregat	9.962,953	73	95,410	1	10.058,363	46.352,730	0,22
171978	Torrent	5.749,360	15	0,000	0	5.749,360	5.749,360	1,00
252326	Torres de Segre	3.656,060	20	40,731	1	3.696,791	15.184,710	0,24
252332	Torre-serona	1.912,074	8	0,000	0	1.912,074	4.861,276	0,39
171984	Torroella de Fluvià	7.621,318	40	0,000	0	7.621,318	8.195,936	0,93
171997	Torroella de Montgrí	6.072,423	76	99,930	2	6.172,353	77.495,382	0,08
431541	Torroja del Priorat	3.056,683	19	0,000	0	3.056,683	3.056,683	1,00
172001	Tortellà	38,371	2	0,000	0	38,371	4.723,185	0,01
431554	Tortosa	37.957,635	215	0,000	0	37.957,635	97.030,555	0,39
172018	Toses	4.878,011	30	26,793	1	4.904,804	4.904,804	1,00
172023	Tossa de Mar	10.891,231	71	0,000	0	10.891,231	53.492,386	0,20
252347	Tremp	18.269,543	148	546,743	9	18.816,287	32.029,437	0,59
172044	Ullà	1.082,872	15	0,000	0	1.082,872	8.104,969	0,13
1082900	Ullastrell	3.930,785	21	0,000	0	3.930,785	12.402,093	0,32
