Id;Poblacio;Total No Name(m);Total(Residential + Living street)
342470;Llorenç del Penedès;488,2117795;21170,22838
345039;Lloret de Mar;34938,04044;262894,6608
345406;Lluçà;327,0599872;1311,418474
341142;Maçanet de Cabrenys;793,1306122;9953,68286
340390;Maçanet de la Selva;9897,032376;88154,08717
345038;Madremanya;1583,970686;3644,820654
345040;Maià de Montcal;3961,998602;4733,209223
342141;Maials;5398,082642;7910,79612
342138;Maldà;850,4106494;2008,867837
346734;Malgrat de Mar;2705,677767;42631,71079
340694;Malla;1251,067062;2937,067312
340920;Manlleu;7314,537117;52775,77088
346721;Manresa;23551,24005;116271,7315
345942;Marçà;2936,916562;3046,903524
342456;Margalef;1845,956947;1940,411637
347470;Marganell;4029,225111;13904,05077
346746;Martorell;12923,86238;44545,61559
340908;Martorelles;2742,183765;27733,70857
345941;Mas de Barberans;831,6388635;4532,799426
341140;Masarac;1077,309554;4317,5703
345952;Masdenverge;296,8453223;5931,254417
346050;Masllorenç;73,1813793;9305,629257
343940;Maspujols;4263,213596;5570,710337
340791;Masquefa;23652,07972;54461,01714
342139;Massalcoreig;2395,273345;3988,304886
341141;Massanes;4800,927956;12519,68752
342140;Massoteres;438,0150304;2103,540825
345823;Matadepera;4132,668561;93203,37497
345587;Mataró;18854,62544;166646,1588
5245866;Medinyà;1141,58514;6427,328588
345816;Mediona;11773,17928;39932,38301
342133;Menàrguens;3257,680518;8156,330961
345041;Meranges;835,40436;2508,588013
341144;Mieres;37,59804891;2275,206877
342134;Miralcamp;7487,701149;19034,33134
343943;Miravet;3311,498439;4523,108631
340374;Moià;3827,521559;36745,3539
345583;Molins de Rei;665,5703336;51169,1552
342137;Mollerussa;17527,13159;52452,46497
341145;Mollet de Peralada;27,67836483;1305,57009
345553;Mollet del Vallès;8826,218668;74419,93484
341146;Molló;2292,023325;7598,450463
345806;Monistrol de Calders;1335,02635;16172,73967
345549;Monistrol de Montserrat;6068,213288;12501,97262
341147;Montagut i Oix;1272,714097;4895,809158
343945;Montblanc;6201,361568;34724,78936
343936;Montbrió del Camp;8518,737052;12174,80999
346037;Montcada i Reixac;14906,17056;72534,39815
340380;Montclar;0;0
342143;Montellà i Martinet;5140,586329;7078,688219
340379;Montesquiu;4076,336902;8119,70632
346681;Montferrer i Castellbò;13661,61919;16262,48569
343937;Montferri;5524,315778;6031,606985
342142;Montgai;2413,687059;6247,618503
345526;Montgat;8447,078674;26736,66446
340382;Montmajor;2245,461923;3171,17606
340381;Montmaneu;3755,030116;3755,030116
340375;Montmeló;7623,709364;29860,34419
346683;Montoliu de Lleida;5949,059702;6380,282072
346680;Montoliu de Segarra;1458,995658;3876,982859
346682;Montornès de Segarra;836,8320126;2213,197454
344964;Montornès del Vallès;20835,36963;50992,45231
348139;Mont-ral;4325,613935;4325,613935
345519;Mont-ras;6390,860656;18203,69812
348138;Mont-roig del Camp;49158,91714;150748,2465
340377;Montseny;966,9391813;1370,875322
348137;Móra d'Ebre;11721,94851;27403,46375
348136;Móra la Nova;3619,502137;14621,59565
345807;Muntanyola;277,8348203;15250,16223
340373;Mura;1609,175183;4500,554589
346684;Nalec;315,646262;1761,866781
347863;Naut Aran;15500,58499;20828,09154
345999;Navarcles;4398,020401;26812,82133
346000;Navàs;6538,362118;23311,39151
345518;Navata;987,5890475;13645,81519
346685;Navès;804,3946007;2073,82222
348132;Nulles;427,1170036;3869,922325
346687;Odèn;1911,379553;1911,379553
345423;Òdena;6792,402013;22560,80802
345517;Ogassa;1951,544323;2183,856913
346004;Olèrdola;1561,414664;40612,48455
346005;Olesa de Bonesvalls;1371,027615;31490,6688
342826;Olesa de Montserrat;15588,52142;44587,02253
346686;Oliana;8215,029712;14765,39549
342493;Oliola;2345,312997;3406,728313
342494;Olius;2585,474373;13223,5147
345996;Olivella;2140,490267;72356,50416
345997;Olost;4089,42664;9774,876211
348970;Olot;14613,86354;116315,9862
346003;Olvan;3547,754613;4239,839838
345515;Ordis;641,3855519;2440,930149
342498;Organyà;3130,894959;6671,459923
341803;Orís;457,6275008;1550,402337
341802;Oristà;3072,534658;5631,652767
341418;Orpí;219,6619648;1349,382765
341417;Òrrius;6108,719824;6108,719824
342495;Os de Balaguer;5600,885654;10964,43906
345514;Osor;956,0174481;3496,169623
342496;Ossó de Sió;2108,536393;4344,482295
341416;Pacs del Penedès;3409,065971;4699,798827
341791;Palafolls;10800,54827;39555,90159
345513;Palafrugell;24061,31512;109049,7492
345522;Palamós;404,668242;63251,87856
345521;Palau de Santa Eulàlia;934,0838862;1190,993752
340869;Palau-sator;2254,588195;3211,273088
340868;Palau-saverdera;4225,248253;17709,17116
341789;Palau-solità i Plegamans;5592,898651;101547,1176
341413;Pallejà;22982,94489;43922,41543
340867;Palol de Revardit;3968,897802;8255,143191
340871;Pals;35162,44751;42322,75384
340872;Pardines;1346,780717;1346,780717
341410;Parets del Vallès;8622,226585;64605,58838
340870;Parlavà;3498,529265;5389,760059
340530;Passanant i Belltall;1285,755178;1346,41794
340865;Pau;4870,398678;6536,983988
340533;Paüls;470,4575975;4108,088618
340866;Pedret i Marzà;2416,594958;2416,594958
346987;Penelles;1283,994134;3288,225643
345698;Perafita;1640,877384;4558,733567
340532;Perafort;3953,486173;15249,88782
345221;Peralada;1630,708955;18830,80605
346986;Peramola;2035,748153;2527,229605
345699;Piera;10721,7742;139722,5693
345696;Pineda de Mar;32987,19633;82038,08173
346985;Pinell de Solsonès;376,0207898;543,1607003
346983;Pinós;1700,969248;2035,560495
340536;Pira;5260,680576;5260,680576
345223;Planoles;731,1665735;5470,954771
345206;Poboleda;3499,080717;4027,765593
345701;Polinyà;2304,20592;29124,85095
345222;Pont de Molins;3806,997564;3806,997564
339877;Pontils;1330,361261;5737,328509
340848;Pontons;533,0355427;8261,512518
345225;Pontós;2103,877047;2103,877047
342834;Ponts;1832,210911;13164,22036
