Alta Ribagorça;0.000;0;339.288;4;339.288;30329.454
Alt Camp;10675.767;113;581.469;22;11257.236;331513.909
Alt Empordà;927.214;17;188.971;3;1116.185;935489.314
Alt Penedès;55.624;1;170.965;6;226.589;527729.849
Alt Urgell;174.215;2;5182.761;52;5356.976;120200.234
Anoia;1968.079;24;782.004;29;2750.084;633624.652
Bages;3428.856;60;987.231;17;4416.087;652526.641
Baix Camp;22520.074;244;1640.996;24;24161.070;776682.251
Baix Ebre;1628.840;24;338.111;12;1966.951;471932.523
Baix Empordà;2964.166;57;1008.028;11;3972.195;981397.143
Baix Llobregat;12211.974;325;145.304;2;12357.278;1772950.790
Baix Penedès;147.603;2;217.318;8;364.922;732591.665
Barcelonès;477.430;19;0.000;0;477.430;1307855.604
Berguedà;553.844;12;1530.575;33;2084.418;157714.189
Cerdanya;643.582;14;2923.764;34;3567.346;208211.935
Conca de Barberà;8692.945;124;871.133;20;9564.078;137181.775
Garraf;237.005;7;0.000;0;237.005;570820.589
Garrigues;14868.280;216;605.053;12;15473.333;124067.724
Garrotxa;365.843;6;1550.737;24;1916.580;257308.100
Gironès;1977.288;26;1206.903;19;3184.192;614665.534
Maresme;21218.127;226;2229.824;37;23447.951;1343851.438
Moianès;5908.104;46;135.411;2;6043.514;129982.516
Montsià;772.137;9;482.692;3;1254.828;337216.940
Noguera;28368.392;324;4893.382;86;33261.775;250691.817
Osona;10263.521;256;3368.885;50;13632.405;726003.023
Pallars Jussà;133.627;2;909.521;23;1043.148;105122.395
Pallars Sobirà;0.000;0;7991.281;86;7991.281;75925.314
Pla de l'Estany;0.000;0;3381.505;51;3381.505;150946.112
Pla d'Urgell;21588.694;293;40.434;1;21629.127;224789.175
Priorat;14603.560;209;286.449;5;14890.009;73772.531
Ribera d'Ebre;19045.234;219;475.839;12;19521.073;129645.880
Ripollès;432.033;9;355.119;4;787.151;133220.297
Segarra;19997.155;345;793.270;14;20790.425;160363.540
Segrià;35067.992;371;1596.132;22;36664.124;606631.289
Selva;3899.887;63;1108.660;12;5008.548;986665.950
Solsonès;416.538;8;104.357;5;520.895;76920.500
Tarragonès;17547.232;344;1342.412;18;18889.644;909020.364
Terra Alta;4108.607;51;0.000;0;4108.607;74956.806
Urgell;28766.016;351;470.322;13;29236.338;204071.441
Val d'Aran;87.990;2;1369.273;30;1457.263;63948.766
Vallès Occidental;16099.450;334;2178.691;29;18278.141;2292357.489
Vallès Oriental;74906.979;884;2632.905;41;77539.883;1727836.828
,,,,,,
