Alta Ribagorça;0,000;0;339,288;4;339,288;30297,024
Alt Camp;17578,634;149;581,469;22;18160,103;331653,291
Alt Empordà;927,214;17;84,691;1;1011,905;935468,190
Alt Penedès;153,343;11;126,658;5;280,000;528079,497
Alt Urgell;174,215;2;5182,761;52;5356,976;120200,234
Anoia;1968,079;24;782,004;29;2750,084;633545,820
Bages;30667,207;358;1648,033;26;32315,240;658692,410
Baix Camp;30405,820;399;1595,622;23;32001,442;776906,830
Baix Ebre;1628,840;27;338,111;12;1966,951;471932,523
Baix Empordà;2710,026;56;1016,652;12;3726,678;981319,127
Baix Llobregat;11176,010;307;145,304;2;11321,314;1772732,482
Baix Penedès;147,603;2;217,318;8;364,922;732538,411
Barcelonès;681,597;7;196,668;1;878,265;1305826,887
Berguedà;553,844;12;1530,575;33;2084,418;157964,144
Cerdanya;643,582;14;2923,764;34;3567,346;208267,055
Conca de Barberà;9072,046;128;871,133;20;9943,179;136610,669
Garraf;0,000;0;0,000;0;0,000;571734,204
Garrigues;14859,626;216;605,053;12;15464,679;123864,597
Garrotxa;737,261;8;1457,164;23;2194,425;257207,929
Gironès;1646,787;23;1206,903;19;2853,690;613798,499
Maresme;51422,977;545;7357,235;85;58780,212;1345901,414
Moianès;11772,346;125;135,411;2;11907,756;130185,310
Montsià;772,137;9;482,692;3;1254,828;337232,810
Noguera;28684,116;327;4893,382;86;33577,498;250690,687
Osona;57388,554;704;4575,998;56;61964,553;731663,251
Pallars Jussà;133,627;2;909,521;23;1043,148;105328,297
Pallars Sobirà;0,000;0;7993,279;86;7993,279;76128,593
Pla de l'Estany;0,000;0;3382,105;51;3382,105;150946,708
Pla d'Urgell;21762,791;295;40,434;1;21803,225;224903,038
Priorat;15025,379;220;286,449;5;15311,828;73771,776
Ribera d'Ebre;18838,672;218;475,839;12;19314,511;129427,987
Ripollès;550,889;10;355,119;4;906,007;133289,627
Segarra;22299,428;379;971,558;16;23270,987;159830,202
Segrià;38530,604;413;1596,132;22;40126,736;604314,391
Selva;3899,887;63;1108,660;12;5008,548;986593,204
Solsonès;416,538;8;104,357;5;520,895;76923,617
Tarragonès;53357,590;700;1317,050;17;54674,640;909689,727
Terra Alta;4102,824;50;0,000;0;4102,824;74884,475
Urgell;30671,096;364;470,322;13;31141,418;204071,441
Val d'Aran;87,990;2;1367,956;30;1455,946;64538,844
Vallès Occidental;46764,618;865;3023,096;47;49787,714;2296458,469
Vallès Oriental;97365,974;1062;4084,573;53;101450,547;1732644,393
,,,,,,
