Alta Ribagorça;0.000;0;339.288;4;339.288;30297.024
Alt Camp;10675.767;113;581.469;22;11257.236;331513.909
Alt Empordà;927.214;17;84.691;1;1011.905;935480.529
Alt Penedès;55.624;1;170.965;6;226.589;527720.828
Alt Urgell;174.215;2;5182.761;52;5356.976;120200.234
Anoia;1992.002;25;782.004;29;2774.007;633649.309
Bages;7729.495;136;987.231;17;8716.727;652628.594
Baix Camp;30980.007;419;1640.996;24;32621.003;777802.755
Baix Ebre;1628.840;24;338.111;12;1966.951;471932.523
Baix Empordà;2675.369;55;1016.652;12;3692.022;981098.591
Baix Llobregat;11049.850;309;145.304;2;11195.153;1772264.687
Baix Penedès;147.603;2;217.318;8;364.922;732538.434
Barcelonès;225.214;9;0.000;0;225.214;1307178.559
Berguedà;553.844;12;1530.575;33;2084.418;157913.825
Cerdanya;643.582;14;2923.764;34;3567.346;208267.055
Conca de Barberà;9072.046;128;871.133;20;9943.179;136610.669
Garraf;0.000;0;0.000;0;0.000;571667.544
Garrigues;14868.280;216;605.053;12;15473.333;123875.479
Garrotxa;365.843;6;1457.164;23;1823.007;257207.929
Gironès;1651.714;24;1206.903;19;2858.617;614127.406
Maresme;31279.733;354;2229.824;37;33509.557;1344737.822
Moianès;11747.560;124;135.411;2;11882.970;130160.524
Montsià;772.137;9;482.692;3;1254.828;337186.419
Noguera;28659.387;326;4893.382;86;33552.769;250691.946
Osona;52613.289;662;4552.035;56;57165.324;732006.740
Pallars Jussà;133.627;2;909.521;23;1043.148;105133.526
Pallars Sobirà;0.000;0;7993.279;86;7993.279;76128.593
Pla de l'Estany;0.000;0;3382.105;51;3382.105;150946.712
Pla d'Urgell;21648.928;294;40.434;1;21689.362;224789.175
Priorat;15025.379;220;286.449;5;15311.828;73771.776
Ribera d'Ebre;18838.672;218;475.839;12;19314.511;129427.714
Ripollès;450.215;10;355.119;4;805.334;133222.477
Segarra;22045.460;376;971.558;16;23017.018;160361.961
Segrià;37863.037;405;1596.132;22;39459.169;606748.332
Selva;3899.887;63;1108.660;12;5008.548;986664.061
Solsonès;416.538;8;104.357;5;520.895;76923.617
Tarragonès;53379.979;714;1355.728;19;54735.708;915344.817
Terra Alta;4102.824;51;0.000;0;4102.824;74916.462
Urgell;30671.096;364;470.322;13;31141.418;204071.441
Val d'Aran;87.990;2;1367.956;30;1455.946;64538.844
Vallès Occidental;21300.080;409;2178.691;29;23478.771;2294384.999
Vallès Oriental;88048.449;979;3541.058;48;91589.506;1731536.467
,,,,,,
