Alta Ribagorça;0.000;0;339.288;4;339.288;30297.024
Alt Camp;19158.011;141;662.608;25;19820.620;326559.993
Alt Empordà;954.771;17;143.094;2;1097.865;934113.153
Alt Penedès;0.000;0;61.531;3;61.531;527484.477
Alt Urgell;174.215;2;6204.974;60;6379.189;120080.100
Anoia;2611.371;38;782.004;29;3393.376;632608.618
Bages;48927.624;492;1789.260;26;50716.883;661737.033
Baix Camp;33563.341;399;1636.621;23;35199.963;773564.390
Baix Ebre;1628.772;27;338.111;12;1966.882;472616.502
Baix Empordà;9734.259;158;1023.793;13;10758.052;980776.110
Baix Llobregat;13687.958;332;6.362;1;13694.320;1769220.162
Baix Penedès;142.863;8;38.094;2;180.957;720383.265
Barcelonès;312.888;7;0.000;0;312.888;1307982.405
Berguedà;26092.851;278;1568.208;34;27661.059;159679.557
Cerdanya;643.586;14;2887.208;32;3530.794;207284.344
Conca de Barberà;15879.684;198;871.133;20;16750.817;137432.487
Garraf;0.000;0;0.000;0;0.000;572359.509
Garrigues;15149.185;216;585.472;11;15734.657;123124.902
Garrotxa;30633.490;298;1776.169;24;32409.659;258187.696
Gironès;26597.009;195;1229.849;20;27826.858;622729.874
Maresme;102888.949;982;7490.395;87;110379.343;1347879.183
Moianès;12517.287;133;135.411;2;12652.697;130074.904
Montsià;772.137;9;482.692;3;1254.828;338867.472
Noguera;48625.777;607;4877.274;85;53503.051;255194.373
Osona;71762.776;846;5279.155;60;77041.931;726111.295
Pallars Jussà;2735.666;40;878.258;22;3613.925;105418.135
Pallars Sobirà;0.000;0;7728.163;81;7728.163;73526.680
Pla de l'Estany;7328.646;87;3382.105;51;10710.751;154571.173
Pla d'Urgell;29913.092;356;80.867;1;29993.959;225683.953
Priorat;15414.212;226;286.449;5;15700.661;73408.385
Ribera d'Ebre;19831.463;224;475.839;12;20307.302;129403.071
Ripollès;8214.967;96;355.119;4;8570.086;134768.930
Segarra;29386.494;432;1110.071;13;30496.565;159810.953
Segrià;46398.358;462;1596.132;22;47994.490;606552.569
Selva;74308.174;552;831.542;11;75139.717;994544.511
Solsonès;12979.996;124;104.357;5;13084.353;77879.936
Tarragonès;55062.372;722;1277.829;16;56340.201;905729.381
Terra Alta;4102.824;50;0.000;0;4102.824;74708.444
Urgell;42677.202;514;470.322;13;43147.524;202601.965
Val d'Aran;87.990;2;1471.751;32;1559.741;68269.769
Vallès Occidental;65366.731;906;3916.235;49;69282.966;2296673.931
Vallès Oriental;115214.375;1175;5717.775;66;120932.150;1731066.433
,,,,,,
