Alta Ribagorça;0,000;0;339,288;4;339,288;30297,024
Alt Camp;19177,832;142;581,296;22;19759,127;329263,574
Alt Empordà;954,771;17;143,094;2;1097,865;933738,206
Alt Penedès;0,000;0;61,531;3;61,531;526150,921
Alt Urgell;174,215;2;6204,974;60;6379,189;120294,873
Anoia;1968,250;24;782,004;29;2750,254;632605,544
Bages;39591,130;433;1556,984;23;41148,114;659237,691
Baix Camp;33729,870;407;1636,621;23;35366,491;773491,436
Baix Ebre;1628,772;27;338,111;12;1966,882;472619,022
Baix Empordà;2675,369;55;1016,652;12;3692,022;979922,628
Baix Llobregat;10707,327;297;6,362;1;10713,689;1769038,782
Baix Penedès;2885,749;49;35,659;2;2921,408;735677,877
Barcelonès;0,000;0;245,149;1;245,149;1305603,553
Berguedà;10463,556;104;1530,575;33;11994,130;158372,106
Cerdanya;643,586;14;2887,208;32;3530,794;207284,344
Conca de Barberà;15879,684;198;871,133;20;16750,817;137427,164
Garraf;0,000;0;0,000;0;0,000;572440,764
Garrigues;15265,634;220;585,472;11;15851,105;123440,895
Garrotxa;365,843;6;1457,164;23;1823,007;257179,969
Gironès;1646,787;23;1227,641;20;2874,428;617389,459
Maresme;64947,286;679;7357,235;85;72304,521;1343966,136
Moianès;12517,287;133;135,411;2;12652,697;130074,904
Montsià;772,137;9;482,692;3;1254,828;338406,744
Noguera;48625,777;607;4877,274;85;53503,051;255194,373
Osona;70685,827;837;5279,155;60;75964,982;725304,723
Pallars Jussà;133,627;2;878,258;22;1011,885;105140,429
Pallars Sobirà;0,000;0;7728,163;81;7728,163;73708,261
Pla de l'Estany;0,000;0;3382,105;51;3382,105;151714,821
Pla d'Urgell;29913,092;356;80,867;1;29993,959;225683,953
Priorat;15414,212;226;286,449;5;15700,661;73351,316
Ribera d'Ebre;19831,463;224;475,839;12;20307,302;129403,071
Ripollès;432,033;7;355,119;4;787,151;133028,396
Segarra;28977,313;428;1110,071;13;30087,384;159590,087
Segrià;46398,358;462;1596,132;22;47994,490;606438,664
Selva;3804,894;60;830,624;11;4635,518;983417,557
Solsonès;416,538;8;104,357;5;520,895;76712,882
Tarragonès;54949,700;720;1143,113;15;56092,813;905392,927
Terra Alta;4102,824;50;0,000;0;4102,824;74708,444
Urgell;42680,559;515;470,322;13;43150,882;202753,039
Val d'Aran;87,990;2;1471,751;32;1559,741;68140,415
Vallès Occidental;51139,720;756;3679,869;46;54819,588;2296887,520
Vallès Oriental;108762,774;1120;3917,369;49;112680,143;1726545,339
,,,,,,
