Alta Ribagorça;666,471;4;339,288;4;1005,759;30259,406
Alt Camp;22254,534;171;662,608;25;22917,142;325684,619
Alt Empordà;1228,914;28;0,000;0;1228,914;932473,789
Alt Penedès;1952,259;45;219,948;7;2172,207;527019,318
Alt Urgell;6363,702;79;6358,907;62;12722,609;120454,783
Anoia;2791,376;44;812,999;31;3604,375;632861,108
Bages;60788,934;573;1855,017;27;62643,950;664648,440
Baix Camp;51677,427;606;1733,141;26;53410,568;775879,896
Baix Ebre;8635,965;64;338,111;12;8974,076;472340,255
Baix Empordà;16301,910;226;976,751;12;17278,660;981739,355
Baix Llobregat;24422,665;526;819,339;14;25242,004;1787761,912
Baix Penedès;3259,860;79;332,086;5;3591,946;717431,995
Barcelonès;3836,259;83;44,901;1;3881,160;1310841,452
Berguedà;46690,543;450;3148,634;49;49839,177;163310,391
Cerdanya;43308,215;367;2887,208;32;46195,423;197463,581
Conca de Barberà;23793,120;332;976,835;21;24769,955;138493,948
Garraf;2325,434;58;0,000;0;2325,434;572613,971
Garrigues;17569,108;243;585,472;11;18154,579;122965,983
Garrotxa;31567,475;296;1620,264;20;33187,739;258059,958
Gironès;26356,543;193;1175,407;19;27531,950;622033,300
Maresme;104730,575;995;7449,438;86;112180,013;1345603,891
Moianès;12470,835;132;135,411;2;12606,246;129906,090
Montsià;2043,848;18;482,692;3;2526,539;339169,825
Noguera;54036,349;673;4877,274;85;58913,623;254710,780
Osona;83774,646;926;5304,971;57;89079,617;726276,024
Pallars Jussà;26279,926;300;1587,640;34;27867,566;105289,753
Pallars Sobirà;11585,980;165;9333,019;103;20918,999;75841,450
Pla de l'Estany;6455,259;82;3698,513;54;10153,772;154001,812
Pla d'Urgell;29669,718;335;0,000;0;29669,718;225311,645
Priorat;18295,508;267;286,449;5;18581,957;74309,164
Ribera d'Ebre;20983,930;237;475,839;12;21459,770;129668,575
Ripollès;27319,753;300;1975,215;13;29294,968;134959,538
Segarra;54516,150;676;1092,911;13;55609,062;163032,468
Segrià;77347,101;711;2426,006;31;79773,107;606381,937
Selva;74032,752;536;811,830;10;74844,582;993112,032
Solsonès;16670,168;157;459,324;10;17129,492;79821,492
Tarragonès;57021,601;753;1277,829;16;58299,430;904768,841
Terra Alta;9338,928;112;0,000;0;9338,928;74291,104
Urgell;44284,915;531;470,322;13;44755,237;204119,440
Val d'Aran;13467,279;156;1471,751;32;14939,030;69186,918
Vallès Occidental;70578,016;952;4254,114;49;74832,130;2296225,362
Vallès Oriental;131615,001;1260;5711,252;66;137326,252;1733129,555
,,,,,,
