Alta Ribagorça;666.471;4;339.288;4;1005.759;30260.158
Alt Camp;22254.534;171;662.608;25;22917.142;325684.619
Alt Empordà;1228.914;28;0.000;0;1228.914;932685.875
Alt Penedès;1952.259;45;219.948;7;2172.207;527019.318
Alt Urgell;6363.702;79;6358.907;62;12722.609;120454.783
Anoia;2791.376;44;812.999;31;3604.375;632831.797
Bages;53812.004;511;1855.017;27;55667.021;663520.187
Baix Camp;44198.849;538;1636.621;23;45835.470;774931.854
Baix Ebre;8635.965;64;338.111;12;8974.076;472340.255
Baix Empordà;16165.313;222;976.751;12;17142.064;981872.450
Baix Llobregat;26822.043;530;819.339;14;27641.382;1780459.490
Baix Penedès;3259.860;79;332.086;5;3591.946;717415.904
Barcelonès;3819.697;82;44.901;1;3864.598;1310052.251
Berguedà;26508.917;281;1558.229;33;28067.145;160073.960
Cerdanya;46319.162;394;2887.208;32;49206.370;210024.240
Conca de Barberà;23793.120;332;976.835;21;24769.955;138493.948
Garraf;2325.434;58;0.000;0;2325.434;572772.257
Garrigues;17569.108;243;585.472;11;18154.579;122965.983
Garrotxa;31595.957;299;1776.169;24;33372.126;258002.752
Gironès;26448.350;194;1229.849;20;27678.199;622355.420
Maresme;104670.855;996;7449.438;86;112120.293;1346344.603
Moianès;12470.836;132;135.411;2;12606.246;129906.090
Montsià;2043.848;18;482.692;3;2526.539;339169.825
Noguera;54036.349;673;4877.274;85;58913.623;254817.687
Osona;83702.303;935;5304.976;57;89007.278;726129.588
Pallars Jussà;26279.926;300;1587.640;34;27867.566;105368.592
Pallars Sobirà;11585.980;165;9333.019;103;20918.999;75841.450
Pla de l'Estany;6455.259;82;3698.513;55;10153.772;154014.188
Pla d'Urgell;29793.458;335;0.000;0;29793.458;225427.516
Priorat;18295.508;267;286.449;5;18581.957;74309.164
Ribera d'Ebre;20983.930;237;475.839;12;21459.770;129668.575
Ripollès;27319.494;301;2051.431;15;29370.925;134810.342
Segarra;54516.150;676;1092.911;13;55609.062;163054.707
Segrià;77347.101;711;2464.098;32;79811.199;606381.937
Selva;74953.937;545;828.597;11;75782.534;994636.998
Solsonès;16670.168;157;459.324;10;17129.492;79821.492
Tarragonès;57281.772;759;1277.829;16;58559.601;905332.225
Terra Alta;9338.928;112;0.000;0;9338.928;74291.104
Urgell;44284.915;531;470.322;13;44755.237;204119.440
Val d'Aran;13467.279;156;1471.751;32;14939.030;69186.918
Vallès Occidental;70414.334;947;4254.114;49;74668.448;2295265.632
Vallès Oriental;128274.801;1235;5711.252;66;133986.052;1735299.589
,,,,,,
