Alta Ribagorça;0,000;0;339,288;4;339,288;30297,024
Alt Camp;19159,108;141;583,109;22;19742,217;328487,822
Alt Empordà;1391,579;19;143,094;2;1534,673;934613,530
Alt Penedès;18,259;1;61,531;3;79,790;526216,501
Alt Urgell;174,215;2;6204,974;60;6379,189;120057,896
Anoia;1968,250;24;782,004;29;2750,254;633116,293
Bages;30764,005;357;1559,583;23;32323,587;658726,467
Baix Camp;29201,990;309;1636,621;23;30838,612;771782,280
Baix Ebre;1628,772;27;338,111;12;1966,882;471947,685
Baix Empordà;2675,369;55;1016,652;12;3692,022;979919,844
Baix Llobregat;10934,524;300;6,362;1;10940,885;1769186,827
Baix Penedès;57,696;2;56,669;3;114,366;733320,755
Barcelonès;0,000;0;245,149;1;245,149;1305335,111
Berguedà;553,844;12;1530,575;33;2084,418;158122,713
Cerdanya;643,586;14;2887,208;32;3530,794;208306,144
Conca de Barberà;12215,377;157;871,133;20;13086,510;137331,846
Garraf;0,000;0;0,000;0;0,000;569944,933
Garrigues;15364,413;221;605,053;12;15969,466;123564,631
Garrotxa;365,843;6;1457,164;23;1823,007;257044,476
Gironès;1646,787;23;1227,641;20;2874,428;617360,495
Maresme;54337,223;576;7357,235;85;61694,458;1345411,583
Moianès;12600,050;135;135,411;2;12735,461;130186,654
Montsià;772,137;9;482,692;3;1254,828;337233,028
Noguera;41259,835;504;4877,274;85;46137,108;255117,012
Osona;67596,288;807;5184,497;59;72780,785;727175,589
Pallars Jussà;133,627;2;878,258;22;1011,885;105225,052
Pallars Sobirà;0,000;0;7728,163;81;7728,163;75799,170
Pla de l'Estany;0,000;0;3382,105;51;3382,105;151714,824
Pla d'Urgell;29913,092;356;80,867;1;29993,959;225683,953
Priorat;15414,212;226;286,449;5;15700,661;73351,316
Ribera d'Ebre;19831,463;224;475,839;12;20307,302;129403,071
Ripollès;432,033;7;355,119;4;787,151;133005,272
Segarra;28838,540;425;1140,497;17;29979,038;159763,546
Segrià;46398,129;462;1596,132;22;47994,261;606433,315
Selva;3856,899;62;830,624;11;4687,523;983851,620
Solsonès;625,137;9;104,357;5;729,494;76922,125
Tarragonès;54916,486;715;1143,113;15;56059,599;903522,770
Terra Alta;4102,824;50;0,000;0;4102,824;74708,444
Urgell;41793,629;509;470,322;13;42263,952;202728,755
Val d'Aran;87,990;2;1471,751;32;1559,741;67685,028
Vallès Occidental;52198,252;801;3819,437;48;56017,689;2298770,149
Vallès Oriental;106254,214;1103;3887,677;48;110141,891;1726112,410
,,,,,,
