Alta Ribagorça,8313.184,107,634.818,10,8948.001,32244.148
Alt Camp,22106.233,165,662.608,24,22768.841,325601.533
Alt Empordà,1153.251,28,0.000,0,1153.251,931388.411
Alt Penedès,2107.871,47,89.033,3,2196.904,526070.906
Alt Urgell,29316.262,294,8162.520,91,37478.782,118840.613
Anoia,7272.574,95,1322.739,41,8595.313,633912.280
Bages,63763.415,601,1902.892,28,65666.307,663798.327
Baix Camp,60987.277,799,1733.141,26,62720.418,776187.350
Baix Ebre,6550.580,53,338.111,12,6888.691,465488.327
Baix Empordà,19187.466,275,1086.927,13,20274.392,980589.140
Baix Llobregat,46180.984,614,1031.328,15,47212.312,1781642.304
Baix Penedès,3143.122,74,332.086,5,3475.208,717247.041
Barcelonès,2541.675,70,0.000,0,2541.675,1308272.348
Berguedà,45886.000,443,3148.634,48,49034.633,161904.878
Cerdanya,46242.464,391,3345.470,36,49587.934,209604.589
Conca de Barberà,24147.383,330,976.835,21,25124.219,138836.793
Garraf,1867.022,54,0.000,0,1867.022,572579.390
Garrigues,22493.295,265,773.124,14,23266.419,122767.443
Garrotxa,36091.185,328,1497.459,19,37588.644,259002.225
Gironès,26835.781,208,971.831,18,27807.612,621541.383
Maresme,105871.401,1010,7449.438,86,113320.839,1343416.323
Moianès,12470.835,132,135.411,2,12606.246,129906.090
Montsià,988.675,12,482.692,3,1471.367,335951.057
Noguera,57752.142,699,5646.945,94,63399.087,253742.978
Osona,87457.275,943,5304.971,57,92762.246,727205.842
Pallars Jussà,29877.709,355,2790.614,51,32668.323,106261.644
Pallars Sobirà,11584.648,165,9333.019,103,20917.667,75838.669
Pla de l'Estany,8006.126,98,3974.976,52,11981.102,154046.479
Pla d'Urgell,32281.813,361,0.000,0,32281.813,224482.974
Priorat,18673.049,268,286.449,5,18959.499,74623.970
Ribera d'Ebre,20983.930,237,475.839,12,21459.770,129668.575
Ripollès,27319.805,299,1976.107,13,29295.912,134983.988
Segarra,60401.961,712,1092.911,13,61494.873,163032.499
Segrià,88021.874,803,2279.153,28,90301.027,606005.571
Selva,74477.450,538,811.830,10,75289.280,992832.570
Solsonès,17100.823,162,459.324,10,17560.147,80187.074
Tarragonès,59240.863,757,1277.829,16,60518.692,903953.083
Terra Alta,9338.928,112,698.289,17,10037.217,74416.757
Urgell,46019.495,549,470.322,13,46489.818,203890.887
Val d'Aran,13453.906,153,1471.751,32,14925.657,69173.545
Vallès Occidental,109303.533,1344,7658.792,63,116962.325,2294847.488
Vallès Oriental,131050.617,1252,5578.443,64,136629.060,1726658.574
,,,,,,
